User,Item,RMSE,ErrorPercentage,RMSEBias
carat,color,1.0679817639775255,0.7281541330018645,1.0900500205359385
carat,clarity,1.0496202757241007,0.7106898694841517,1.0775833369163528
carat,depth,0.8103930609154519,0.5243485291373842,0.8429608083741122
carat,table,0.9672669512396556,0.5815818927994031,0.9940324375942039
carat,price,2.0319263561159318,0.690462911321807,2.086358871482162
carat,x,0.9556465590323375,0.6106205695808979,0.9713617281225124
carat,y,0.9905403361614039,0.6498383486694852,1.0039068113180958
carat,z,0.9221877270051809,0.601753949496206,0.9426365825619226
color,carat,1.0715411737978333,0.7297078931013051,1.0906614185014116
color,clarity,1.0917365152504785,0.7361784072555597,1.1184111448052694
color,depth,0.7957807313204924,0.6016659414434015,0.8320107658646959
color,table,0.9848747334538878,0.7325046612802983,1.0101588727346147
color,price,1.9295585663190262,0.7026763311959855,1.978739454429795
color,x,1.075013760850737,0.6974142217802088,1.093879110048519
color,y,1.100798007865361,0.7167184586699814,1.1196476628123584
color,z,1.0962451039505918,0.7267640658999067,1.117657289984688
clarity,carat,1.0526865840162842,0.7135487880671224,1.0786072798700737
clarity,color,1.0916693692103572,0.7371102000248478,1.1183232366623597
clarity,depth,0.791390064686069,0.5794119475352769,0.8295138513396159
clarity,table,0.9730764476894045,0.6626476072094468,1.0006517920602194
clarity,price,1.9185457533036234,0.6944521884583217,1.9593989831846443
clarity,x,1.0642082803717705,0.6838637493784187,1.088741910597652
clarity,y,1.0806929690487677,0.6962088253573648,1.104357728917139
clarity,z,1.0832143122582223,0.7132110662107554,1.1084110841167494
depth,carat,0.8360929740236429,0.5274581752596554,0.8539467163565541
depth,color,0.7957089317948162,0.5954497420277243,0.8318195215297834
depth,clarity,0.7913963561309966,0.5810281593833531,0.829574644498858
depth,table,0.6483267332028051,0.32757012252005724,0.6915804900882585
depth,price,2.120858202716488,0.7705238194880379,2.1950321055177175
depth,x,0.9450521280494959,0.5506002363625054,0.9467741651985657
depth,y,0.9610833297690177,0.5516512220909261,0.9623080633847574
depth,z,0.8588288731960189,0.5325370162996143,0.8751701418580518
table,carat,0.9653810171095762,0.5812709861957468,0.9888945993357379
table,color,0.9843962111991069,0.7369173399627098,1.0096024255359408
table,clarity,0.972243753032898,0.6773151025481665,0.999813703906274
table,depth,0.647387235896521,0.3307419615647739,0.6908346672269651
table,price,1.9921515014284406,0.6742661925678031,2.048528155536035
table,x,0.9824109701287153,0.5407338308457711,1.0034257610861614
table,y,1.0062197399469184,0.5746175848775028,1.0261123271250332
table,z,0.992009384003437,0.6058966225041985,1.0151076656938907
price,carat,1.3579499684238208,0.6367122141662019,1.3788572451008199
price,color,1.3711628155544175,0.6643434625034849,1.4026954648276992
price,clarity,1.3498433572154838,0.6542375243936437,1.3781769488194022
price,depth,1.032525069075859,0.5772476808258352,1.077046430536895
price,table,1.203438681661744,0.589416440075298,1.2330922644935811
price,x,1.3771208267850428,0.6676661320688934,1.3959733466481234
price,y,1.3808926334097777,0.6721288613067429,1.3970669539094946
price,z,1.3804804980378553,0.6645746164574616,1.4047982586813974
x,carat,0.9472544412343669,0.6093147618455416,0.9651395056049885
x,color,1.0665931450060337,0.6963575335653903,1.0908011668114652
x,clarity,1.0534612370339012,0.6821233217304824,1.0816596220596584
x,depth,0.8457153470964615,0.5276481930708465,0.873482097304964
x,table,0.9648602155276597,0.5392412935323383,0.9912072891690903
x,price,2.354609535258826,0.8012690886270134,2.424111124058281
x,y,1.1185936082547088,0.6754538671972147,1.1262503710594343
x,z,0.8884260331082808,0.541705542078746,0.9050690601305825
y,carat,0.9905742497256739,0.6496518279035066,1.005461220845868
y,color,1.0921754873661464,0.7154754505904288,1.1155246801236853
y,clarity,1.071073880806302,0.6957737725295214,1.0980046123869576
y,depth,0.8620292321166313,0.5339884321164251,0.8898186146007564
y,table,0.9934484202371208,0.5733117771421465,1.018431217576367
y,price,2.3540456683612834,0.7992469144411128,2.422938363420424
y,x,1.1129073958371725,0.6740860482467048,1.1206916030921246
y,z,0.9421560602742116,0.5743516387835065,0.9547596346805166
z,carat,0.9275229184876992,0.605361363353651,0.9446915469005485
z,color,1.095433731337353,0.7238420889027044,1.1185335122068112
z,clarity,1.0818196636739559,0.7147653092943737,1.108339461301243
z,depth,0.82263778138609,0.5233296005972378,0.8553669163435178
z,table,0.9919915080555931,0.6099396653604529,1.0180506292874454
z,price,2.330226747645244,0.7855648535564853,2.399847431567092
z,x,0.9133754576323654,0.5438825651551906,0.9214505767518791
z,y,0.963460840655952,0.5766527769139872,0.9710311300678213

